FID,WELL_CLASS,TD,PB,NOX,lat,long
"2,987",G,"9,632.000000000000000","9,579.000000000000000",994.084835069561450,42.387236841099998,-109.742025523000000
"2,988",G,"13,150.000000000000000","13,125.000000000000000",624.217805293856370,42.626454593100000,-109.760940672000000
"2,989",G,"13,710.000000000000000","13,408.000000000000000",573.445411915796970,42.701263550599997,-109.837345040000000
"2,990",G,"11,490.000000000000000","11,451.000000000000000",832.842352265658630,42.466176304900003,-109.701815520000000
"2,991",G,"11,445.000000000000000","11,416.000000000000000",832.876066171959340,42.466186304200001,-109.701915523000000
"2,992",G,"11,444.000000000000000","11,406.000000000000000",832.849101632648400,42.466196304000000,-109.701895522000000
"2,993",G,"10,840.000000000000000","10,745.000000000000000",849.586880914598170,42.466615961899997,-109.736256654000000
"2,994",G,"10,860.000000000000000","10,826.000000000000000",849.580225790438130,42.466625961200002,-109.736276655000000
"2,995",G,"10,855.000000000000000","10,823.000000000000000",849.851446681753940,42.466455963400001,-109.736246652000010
"2,996",G,"10,835.000000000000000","10,806.000000000000000",850.077256286625240,42.466315965699998,-109.736226648000000
"2,997",G,"13,879.000000000000000",0.000000000000000,861.887141251898360,42.309954355899997,-109.148967422000000
"2,998",G,"12,575.000000000000000","12,242.000000000000000",662.326171691763310,42.593064893600001,-109.748339505000000
"2,999",G,"13,785.000000000000000","13,728.000000000000000",647.016996849045540,42.586075450400003,-109.698827717000000
"3,000",G,"13,690.000000000000000","13,677.000000000000000",648.358363850407390,42.588285346900001,-109.707608054000000
"3,001",G,"12,441.000000000000000","12,408.000000000000000",660.211370398822050,42.592114969500003,-109.741589261000000
"3,002",G,"13,330.000000000000000","13,255.000000000000000",648.480448463620630,42.593285172599998,-109.721548619000000
"3,003",G,"13,656.000000000000000","13,640.000000000000000",623.434324945405480,42.618124854500003,-109.737979671000010
"3,004",G,"13,280.000000000000000","13,253.000000000000000",635.914759414584070,42.609864870099997,-109.741069606000000
"3,005",G,"12,948.000000000000000","12,838.000000000000000",601.585345409127970,42.662534043800001,-109.804873099000010
"3,006",G,"12,208.000000000000000","12,141.000000000000000","1,092.820562795300200",42.336307448200003,-109.741504659000000
"3,007",G,"13,462.000000000000000","13,401.000000000000000",649.848888687492720,42.600324903400001,-109.743269484000000
"3,008",G,"13,715.000000000000000","13,628.000000000000000",649.859015569743630,42.600324903400001,-109.743289485000010
"3,009",G,"13,683.000000000000000","13,673.000000000000000",640.244308317252940,42.604714953900000,-109.735999332000010
"3,010",G,"13,575.000000000000000","13,464.000000000000000",649.852155748889570,42.600344903100002,-109.743329487000000
"3,011",G,"14,185.000000000000000","14,193.000000000000000",623.803042805691800,42.606385243100000,-109.707798428999990
"3,012",G,"13,930.000000000000000","13,957.000000000000000",571.373567490309600,42.689823847200003,-109.808263736000000
"3,013",G,"13,755.000000000000000","13,708.000000000000000",571.626907355636720,42.689353853900002,-109.807713706000000
"3,014",G,"14,378.000000000000000","14,208.000000000000000",570.373350767398280,42.690073856399998,-109.806863688000010
"3,015",G,"14,075.000000000000000","14,073.000000000000000",570.340396525090680,42.690093856399997,-109.806843688000000
"3,016",G,"13,890.000000000000000","13,788.000000000000000",571.631517675310530,42.689313854500000,-109.807633702999990
"3,017",G,"13,510.000000000000000","13,478.000000000000000",571.411655544965700,42.689803846899999,-109.808293737000000
"3,018",G,"13,542.000000000000000","13,537.000000000000000",571.605806053741840,42.689403853400002,-109.807783710000000
"3,019",G,"13,700.000000000000000","13,676.000000000000000",571.579080754530990,42.689413853500000,-109.807753709000000
"3,020",G,"13,600.000000000000000","13,583.000000000000000",571.579596676837810,42.689453852800000,-109.807843714000000
"3,021",G,"13,550.000000000000000","13,547.000000000000000",571.374128069080140,42.689863846100003,-109.808353740000000
"3,022",G,"13,617.000000000000000","13,615.000000000000000",571.552871736874290,42.689463852899998,-109.807813712000000
"3,023",G,"13,727.000000000000000","13,649.000000000000000",570.203032815115650,42.690403851299997,-109.807263709000000
"3,024",G,"13,820.000000000000000","13,817.000000000000000",570.300634696334900,42.690173854999998,-109.806943692000000
"3,025",G,"13,690.000000000000000","13,688.000000000000000",571.315010344198190,42.689933845500001,-109.808393743000000
"3,026",G,"13,460.000000000000000","13,426.000000000000000",570.229131015016720,42.690353851499999,-109.807203706000000
"3,027",G,"13,910.000000000000000","13,907.000000000000000",570.320514344454070,42.690133855299997,-109.806893691000000
"3,028",G,"13,460.000000000000000","13,426.000000000000000",570.191075360990910,42.690373851600000,-109.807173705000000
"3,029",G,"13,878.000000000000000","13,788.000000000000000",570.164979392228020,42.690423851299997,-109.807233708000000
"3,030",G,"13,850.000000000000000","13,868.000000000000000",571.352527289746150,42.689873846300003,-109.808333739000010
"3,031",G,"13,920.000000000000000","13,845.000000000000000",570.217176836780480,42.690323852699997,-109.807113701000010
"3,032",G,"13,240.000000000000000","13,238.000000000000000",634.199509639475880,42.613994765900003,-109.748509936000000
"3,033",G,"13,550.000000000000000","13,548.000000000000000",629.382351966083430,42.610924971700001,-109.730929290000010
"3,034",G,"13,139.000000000000000","13,041.000000000000000",656.549703866581920,42.600754772099997,-109.757630022000000
"3,035",G,"12,931.000000000000000","12,913.000000000000000",656.453159365958750,42.600814772200003,-109.757600022000010
"3,036",G,"14,400.000000000000000","14,363.000000000000000",544.906754360493550,42.731013308500003,-109.843925803999990
"3,037",G,"14,000.000000000000000",0.000000000000000,525.720026348859620,42.769702969800001,-109.880897776000000
"3,038",G,"14,131.000000000000000","14,112.000000000000000",544.901750175770080,42.730993308899997,-109.843875803000000
"3,039",G,"14,015.000000000000000","13,938.000000000000000",485.159156579307590,42.817833118700001,-109.884638666000000
"3,040",G,"14,000.000000000000000","13,939.000000000000000",484.004957742538980,42.820653104999998,-109.886878788999990
"3,041",G,"13,900.000000000000000","13,812.000000000000000",483.953214963832010,42.820653106100004,-109.886778785999990
"3,042",G,"14,625.000000000000000","14,572.000000000000000",527.426632041068840,42.768602954499997,-109.882187805000000
"3,043",G,"14,070.000000000000000","14,014.000000000000000",502.790073325115150,42.796263050699999,-109.883268278000000
"3,044",G,"14,450.000000000000000","14,390.000000000000000",538.408857286012680,42.734513329800002,-109.838315662000000
"3,045",G,"14,400.000000000000000","14,361.000000000000000",538.424273425280150,42.734483329800000,-109.838285658999990
"3,046",G,"14,165.000000000000000","14,086.000000000000000",502.809617323346970,42.796223050599998,-109.883238276000000
"3,047",G,"14,120.000000000000000","14,115.000000000000000",482.339589330042490,42.814083224000001,-109.873168201000000
"3,048",G,"14,470.000000000000000","14,443.000000000000000",482.312978118794040,42.814053225300000,-109.873068196999990
"3,049",G,"14,130.000000000000000","14,112.000000000000000",482.322120099413040,42.814073224300003,-109.873118198000000
"3,050",G,"14,354.000000000000000","14,254.000000000000000",544.922126132601650,42.731023307800001,-109.843975807000010
"3,051",G,"13,282.000000000000000","13,181.000000000000000",656.847806027300860,42.600744768500000,-109.758190045000010
"3,052",G,"10,518.000000000000000","10,463.000000000000000",927.376848503257860,42.425986298300003,-109.750486440000000
"3,053",G,"10,302.000000000000000","10,203.000000000000000",956.444573448651680,42.415966234999999,-109.771967266999990
"3,054",G,"10,644.000000000000000","10,606.000000000000000",923.123749975685880,42.427836295500001,-109.748626410000000
"3,055",G,"10,545.000000000000000","11,390.000000000000000",922.649582566077020,42.429356238799997,-109.752976606999990
"3,056",G,"14,112.000000000000000","13,987.000000000000000",479.738077878539340,42.822133174500003,-109.880958604000000
"3,057",G,"11,970.000000000000000","11,910.000000000000000",876.045639652828980,42.437496773800000,-109.689674667999990
"3,058",G,"10,434.000000000000000","10,393.000000000000000",936.338705680236900,42.426456136500001,-109.769557324999990
"3,059",G,"13,971.000000000000000","13,960.000000000000000",479.777206244444870,42.822123173500003,-109.881018604999990
"3,060",G,"14,930.000000000000000","14,846.000000000000000",479.110614472960610,42.822333184700000,-109.880058574000000
"3,061",G,"13,789.000000000000000","13,781.000000000000000",490.246890199747210,42.802983206100002,-109.870287922000000
"3,062",G,"13,630.000000000000000","13,628.000000000000000",629.434563996692080,42.610824974300002,-109.730769283000000
"3,063",G,"13,616.000000000000000","13,614.000000000000000",629.341120532875490,42.610974971200001,-109.730979292000000
"3,064",G,"14,000.000000000000000",0.000000000000000,572.716376582476980,42.667124361299997,-109.758961411000000
"3,065",G,"14,000.000000000000000",0.000000000000000,572.811088977659210,42.666794367800001,-109.758371381000000
