year, 	month, 	day, 	hour, 	minute, 	second,	Significant Wave Height (m), 	Peak period (s), 	Ice thickness (m)
   2.0120000e+03   9.0000000e+00   1.6000000e+01   1.5000000e+01   3.1000000e+01   1.0000000e+00   6.3000000e-01   5.5652174e+00   1.1633740e-01
   2.0120000e+03   9.0000000e+00   1.6000000e+01   1.6000000e+01   3.1000000e+01   1.0000000e+00   6.3000000e-01   3.8496241e+00   6.0843262e-02
   2.0120000e+03   9.0000000e+00   1.6000000e+01   1.7000000e+01   3.1000000e+01   1.0000000e+00   6.7000000e-01   5.4468085e+00   1.4542822e-01
   2.0120000e+03   9.0000000e+00   1.6000000e+01   1.8000000e+01   3.1000000e+01   1.0000000e+00   6.5000000e-01   5.5652174e+00   1.2984277e-01
   2.0120000e+03   9.0000000e+00   1.6000000e+01   1.9000000e+01   3.1000000e+01   1.0000000e+00   6.8000000e-01   6.0952381e+00   1.3517578e-01
   2.0120000e+03   9.0000000e+00   1.6000000e+01   2.0000000e+01   3.1000000e+01   1.0000000e+00   6.5000000e-01   5.3894737e+00   1.3410400e-01
   2.0120000e+03   9.0000000e+00   1.6000000e+01   2.1000000e+01   3.1000000e+01   1.0000000e+00   6.6000000e-01   5.6263736e+00   1.1576709e-01
   2.0120000e+03   9.0000000e+00   1.6000000e+01   2.2000000e+01   3.1000000e+01   1.0000000e+00   6.4000000e-01   6.0235294e+00   1.1808252e-01
   2.0120000e+03   9.0000000e+00   1.6000000e+01   2.3000000e+01   3.1000000e+01   1.0000000e+00   6.9000000e-01   3.9689922e+00   2.5653271e-01
   2.0120000e+03   9.0000000e+00   1.7000000e+01   0.0000000e+00   3.1000000e+01   1.0000000e+00   7.6000000e-01   3.9384615e+00   1.0362598e-01
   2.0120000e+03   9.0000000e+00   1.7000000e+01   1.0000000e+00   3.1000000e+01   1.0000000e+00   9.0000000e-01             NaN   1.2532031e-01
   2.0120000e+03   9.0000000e+00   1.7000000e+01   2.0000000e+00   3.1000000e+01   1.0000000e+00   1.0400000e+00   4.4137931e+00   1.0377051e-01
   2.0120000e+03   9.0000000e+00   1.7000000e+01   3.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   7.0598389e-01
   2.0120000e+03   9.0000000e+00   1.7000000e+01   4.0000000e+00   3.1000000e+01   1.0000000e+00   1.5800000e+00   5.1200000e+00   1.0611523e-01
   2.0120000e+03   9.0000000e+00   1.7000000e+01   5.0000000e+00   3.1000000e+01   1.0000000e+00   1.8600000e+00   5.7528090e+00   7.5800781e-02
   2.0120000e+03   9.0000000e+00   1.7000000e+01   6.0000000e+00   3.1000000e+01   1.0000000e+00   2.0500000e+00   5.5053763e+00   7.5053223e-02
   2.0120000e+03   9.0000000e+00   1.7000000e+01   7.0000000e+00   3.1000000e+01   1.0000000e+00   2.4400000e+00   6.5641026e+00   7.1328125e-02
   2.0120000e+03   9.0000000e+00   1.7000000e+01   8.0000000e+00   3.1000000e+01   1.0000000e+00   2.4500000e+00   7.1111111e+00   7.0565918e-02
   2.0120000e+03   9.0000000e+00   1.7000000e+01   9.0000000e+00   3.1000000e+01   1.0000000e+00   3.1900000e+00   7.0136986e+00   9.3639160e-02
   2.0120000e+03   9.0000000e+00   1.7000000e+01   1.0000000e+01   3.1000000e+01   1.0000000e+00   2.9600000e+00   6.9189189e+00   9.0572754e-02
   2.0120000e+03   9.0000000e+00   1.7000000e+01   1.1000000e+01   3.1000000e+01   1.0000000e+00   3.2400000e+00   8.3934426e+00   6.3102539e-02
   2.0120000e+03   9.0000000e+00   1.7000000e+01   1.2000000e+01   3.1000000e+01   1.0000000e+00   3.6000000e+00   8.5333333e+00   2.2402686e-01
   2.0120000e+03   9.0000000e+00   1.7000000e+01   1.3000000e+01   3.1000000e+01   1.0000000e+00   3.4600000e+00   8.6779661e+00   1.0475000e-01
   2.0120000e+03   9.0000000e+00   1.7000000e+01   1.4000000e+01   3.1000000e+01   1.0000000e+00   4.2400000e+00   7.8769231e+00   1.0551807e-01
   2.0120000e+03   9.0000000e+00   1.7000000e+01   1.5000000e+01   3.1000000e+01   1.0000000e+00   4.0500000e+00   9.3090909e+00   1.0339551e-01
   2.0120000e+03   9.0000000e+00   1.7000000e+01   1.6000000e+01   3.1000000e+01   1.0000000e+00   3.9900000e+00             NaN   8.2596191e-02
   2.0120000e+03   9.0000000e+00   1.7000000e+01   1.7000000e+01   3.1000000e+01   1.0000000e+00   4.0300000e+00   9.8461538e+00   1.6794629e-01
   2.0120000e+03   9.0000000e+00   1.7000000e+01   1.8000000e+01   3.1000000e+01   1.0000000e+00   4.4200000e+00             NaN   2.1957666e-01
   2.0120000e+03   9.0000000e+00   1.7000000e+01   1.9000000e+01   3.1000000e+01   1.0000000e+00   3.9900000e+00   8.5333333e+00   1.0274023e-01
   2.0120000e+03   9.0000000e+00   1.7000000e+01   2.0000000e+01   3.1000000e+01   1.0000000e+00   4.3500000e+00             NaN   1.3064453e-01
   2.0120000e+03   9.0000000e+00   1.7000000e+01   2.1000000e+01   3.1000000e+01   1.0000000e+00   4.5300000e+00   9.4814815e+00   1.4746826e-01
   2.0120000e+03   9.0000000e+00   1.7000000e+01   2.2000000e+01   3.1000000e+01   1.0000000e+00   4.4400000e+00   1.0666667e+01   5.4918945e-02
   2.0120000e+03   9.0000000e+00   1.7000000e+01   2.3000000e+01   3.1000000e+01   1.0000000e+00   4.5400000e+00   9.8461538e+00   9.8209961e-02
   2.0120000e+03   9.0000000e+00   1.8000000e+01   0.0000000e+00   3.1000000e+01   1.0000000e+00   4.6400000e+00   1.0448980e+01   5.0959961e-02
   2.0120000e+03   9.0000000e+00   1.8000000e+01   1.0000000e+00   3.1000000e+01   1.0000000e+00   4.6000000e+00   1.0666667e+01   5.6896973e-02
   2.0120000e+03   9.0000000e+00   1.8000000e+01   2.0000000e+00   3.1000000e+01   1.0000000e+00   4.8000000e+00   1.0448980e+01   1.3345850e-01
   2.0120000e+03   9.0000000e+00   1.8000000e+01   3.0000000e+00   3.1000000e+01   1.0000000e+00   4.4100000e+00   1.1130435e+01   1.2379736e-01
   2.0120000e+03   9.0000000e+00   1.8000000e+01   4.0000000e+00   3.1000000e+01   1.0000000e+00   4.4000000e+00   1.1636364e+01   1.6084326e-01
   2.0120000e+03   9.0000000e+00   1.8000000e+01   5.0000000e+00   3.1000000e+01   1.0000000e+00   4.2400000e+00   9.8461538e+00   1.0506055e-01
   2.0120000e+03   9.0000000e+00   1.8000000e+01   6.0000000e+00   3.1000000e+01   1.0000000e+00   4.5100000e+00   9.8461538e+00   1.2581055e-01
   2.0120000e+03   9.0000000e+00   1.8000000e+01   7.0000000e+00   3.1000000e+01   1.0000000e+00   4.1900000e+00   1.1636364e+01   1.7091162e-01
   2.0120000e+03   9.0000000e+00   1.8000000e+01   8.0000000e+00   3.1000000e+01   1.0000000e+00   4.2400000e+00             NaN   1.8629639e-01
   2.0120000e+03   9.0000000e+00   1.8000000e+01   9.0000000e+00   3.1000000e+01   1.0000000e+00   4.4200000e+00   9.8461538e+00   7.5639160e-02
   2.0120000e+03   9.0000000e+00   1.8000000e+01   1.0000000e+01   3.1000000e+01   1.0000000e+00   4.7200000e+00   1.1130435e+01   2.4716797e-02
   2.0120000e+03   9.0000000e+00   1.8000000e+01   1.1000000e+01   3.1000000e+01   1.0000000e+00   4.3000000e+00   1.0240000e+01   0.0000000e+00
   2.0120000e+03   9.0000000e+00   1.8000000e+01   1.2000000e+01   3.1000000e+01   1.0000000e+00   4.0800000e+00             NaN   0.0000000e+00
   2.0120000e+03   9.0000000e+00   1.8000000e+01   1.3000000e+01   3.1000000e+01   1.0000000e+00   3.7400000e+00   1.0448980e+01   0.0000000e+00
   2.0120000e+03   9.0000000e+00   1.8000000e+01   1.4000000e+01   3.1000000e+01   1.0000000e+00   3.4800000e+00   1.0666667e+01   0.0000000e+00
   2.0120000e+03   9.0000000e+00   1.8000000e+01   1.5000000e+01   3.1000000e+01   1.0000000e+00   2.7600000e+00   1.0666667e+01   0.0000000e+00
