,,
,,
Latitude,Longitude,thickness (m)
71.5159840,-156.5013825,1.098
71.5160088,-156.5014172,1.003
71.5160336,-156.5014518,0.956
71.5160584,-156.5014862,0.968
71.5160833,-156.5015205,1.009
71.5161082,-156.5015547,1.059
71.5161331,-156.5015887,1.108
71.5161580,-156.5016226,1.165
71.5161830,-156.5016564,1.259
71.5162080,-156.5016900,1.381
71.5162330,-156.5017235,1.452
71.5162581,-156.5017569,1.430
71.5162832,-156.5017902,1.379
71.5163083,-156.5018233,1.352
71.5163334,-156.5018564,1.336
71.5163586,-156.5018894,1.310
71.5163838,-156.5019223,1.273
71.5164090,-156.5019552,1.219
71.5164342,-156.5019880,1.147
71.5164595,-156.5020207,1.073
71.5164848,-156.5020534,1.018
71.5165101,-156.5020861,0.981
71.5165354,-156.5021188,0.943
71.5165607,-156.5021515,0.901
71.5168912,-156.5025799,0.457
71.5169166,-156.5026134,0.518
71.5169421,-156.5026469,0.594
71.5169676,-156.5026806,0.648
71.5169930,-156.5027143,0.664
71.5170185,-156.5027482,0.654
71.5170440,-156.5027821,0.637
71.5170694,-156.5028162,0.629
71.5170949,-156.5028503,0.643
71.5171203,-156.5028846,0.681
71.5171458,-156.5029190,0.738
71.5171712,-156.5029536,0.799
71.5171966,-156.5029882,0.860
71.5172220,-156.5030230,0.924
71.5172474,-156.5030579,0.992
71.5172728,-156.5030930,1.083
71.5172981,-156.5031281,1.222
71.5173235,-156.5031634,1.383
71.5173488,-156.5031988,1.501
71.5173742,-156.5032343,1.566
71.5173995,-156.5032699,1.638
71.5174248,-156.5033056,1.739
71.5174501,-156.5033413,1.798
71.5174755,-156.5033772,1.754
71.5175008,-156.5034132,1.652
71.5175261,-156.5034492,1.565
71.5175514,-156.5034852,1.511
71.5175767,-156.5035214,1.470
71.5176020,-156.5035576,1.429
71.5176273,-156.5035938,1.387
71.5176526,-156.5036301,1.351
71.5176779,-156.5036665,1.325
71.5177033,-156.5037028,1.302
71.5177286,-156.5037392,1.277
71.5177539,-156.5037757,1.258
71.5177793,-156.5038121,1.263
71.5178046,-156.5038486,1.288
71.5178300,-156.5038850,1.316
71.5178554,-156.5039215,1.344
71.5178807,-156.5039580,1.385
71.5179061,-156.5039944,1.434
71.5179316,-156.5040308,1.475
71.5179570,-156.5040673,1.503
71.5179824,-156.5041037,1.509
71.5180079,-156.5041400,1.488
71.5180334,-156.5041763,1.436
71.5180589,-156.5042126,1.358
71.5180844,-156.5042489,1.260
71.5181099,-156.5042851,1.151
71.5181355,-156.5043212,1.041
71.5181611,-156.5043572,0.937
71.5181867,-156.5043932,0.836
71.5182123,-156.5044292,0.741
71.5182380,-156.5044650,0.657
71.5182637,-156.5045008,0.598
71.5182894,-156.5045364,0.574
71.5183152,-156.5045720,0.586
71.5183409,-156.5046075,0.628
71.5183667,-156.5046430,0.686
71.5183926,-156.5046784,0.753
71.5184184,-156.5047137,0.825
71.5184443,-156.5047489,0.905
71.5184702,-156.5047841,0.981
71.5184961,-156.5048193,1.034
71.5185221,-156.5048544,1.073
71.5185481,-156.5048894,1.116
71.5185741,-156.5049244,1.167
71.5186002,-156.5049594,1.219
71.5186262,-156.5049943,1.264
71.5186523,-156.5050292,1.295
71.5186784,-156.5050640,1.313
71.5187046,-156.5050988,1.337
71.5187308,-156.5051336,1.384
71.5187570,-156.5051684,1.448
71.5187832,-156.5052031,1.480
71.5188094,-156.5052379,1.441
71.5188357,-156.5052726,1.367
71.5188620,-156.5053073,1.340
71.5188883,-156.5053420,1.375
71.5189147,-156.5053768,1.424
71.5189411,-156.5054115,1.464
71.5189675,-156.5054462,1.523
71.5189939,-156.5054809,1.604
71.5190203,-156.5055157,1.685
71.5190468,-156.5055504,1.745
71.5190733,-156.5055852,1.784
71.5190998,-156.5056200,1.826
71.5191264,-156.5056548,1.898
71.5191530,-156.5056897,1.994
71.5191796,-156.5057245,2.076
71.5192062,-156.5057595,2.109
71.5192328,-156.5057944,2.096
71.5192595,-156.5058294,2.075
71.5192862,-156.5058645,2.108
71.5193129,-156.5058996,2.222
71.5193397,-156.5059347,2.350
71.5193664,-156.5059699,2.372
71.5193932,-156.5060052,2.257
71.5194200,-156.5060405,2.071
71.5194469,-156.5060759,1.859
71.5194737,-156.5061113,1.628
71.5195006,-156.5061468,1.405
71.5195275,-156.5061824,1.211
71.5195545,-156.5062181,1.043
71.5195814,-156.5062539,0.892
71.5196084,-156.5062897,0.757
