latitude,longitude,SSMI x-location (km),SSMI y-location (km),thickness,,
69.601,-98.194,"-1,787.5","-1,337.5",-1,,
69.78,-97.806,"-1,762.5","-1,337.5","9,999",,
69.958,-97.411,"-1,737.5","-1,337.5",-1,,
70.135,-97.009,"-1,712.5","-1,337.5",-1,,
70.311,-96.6,"-1,687.5","-1,337.5","9,999",,
70.487,-96.183,"-1,662.5","-1,337.5","9,999",,
70.661,-95.758,"-1,637.5","-1,337.5","9,999",,
70.834,-95.326,"-1,612.5","-1,337.5","9,999",,
71.007,-94.885,"-1,587.5","-1,337.5","9,999",,
71.178,-94.436,"-1,562.5","-1,337.5","9,999",,
71.348,-93.979,"-1,537.5","-1,337.5","9,999",,
71.517,-93.514,"-1,512.5","-1,337.5","9,999",,
71.685,-93.039,"-1,487.5","-1,337.5",-1,,
71.852,-92.556,"-1,462.5","-1,337.5",-1,,
72.018,-92.064,"-1,437.5","-1,337.5",-1,,
72.182,-91.562,"-1,412.5","-1,337.5",-1,,
72.345,-91.051,"-1,387.5","-1,337.5",-1,,
72.507,-90.531,"-1,362.5","-1,337.5",-1,,
72.667,-90,"-1,337.5","-1,337.5",-1,,
72.826,-89.459,"-1,312.5","-1,337.5","9,999",,
72.984,-88.909,"-1,287.5","-1,337.5","9,999",,
73.14,-88.348,"-1,262.5","-1,337.5","9,999",,
73.294,-87.776,"-1,237.5","-1,337.5","9,999",,
73.447,-87.194,"-1,212.5","-1,337.5","9,999",,
73.598,-86.6,"-1,187.5","-1,337.5","9,999",,
73.747,-85.996,"-1,162.5","-1,337.5","9,999",,
73.895,-85.38,"-1,137.5","-1,337.5","9,999",,
74.04,-84.753,"-1,112.5","-1,337.5",-1,,
74.184,-84.114,"-1,087.5","-1,337.5",-1,,
74.326,-83.463,"-1,062.5","-1,337.5",-1,,
74.466,-82.801,"-1,037.5","-1,337.5",-1,,
74.604,-82.126,"-1,012.5","-1,337.5",-1,,
74.74,-81.439,-987.5,"-1,337.5","9,999",,
74.874,-80.74,-962.5,"-1,337.5","9,999",,
75.005,-80.028,-937.5,"-1,337.5","9,999",,
75.134,-79.303,-912.5,"-1,337.5","9,999",,
75.261,-78.566,-887.5,"-1,337.5",-1,,
75.385,-77.816,-862.5,"-1,337.5",-1,,
75.507,-77.053,-837.5,"-1,337.5",-1,,
75.627,-76.278,-812.5,"-1,337.5",-1,,
75.743,-75.489,-787.5,"-1,337.5",-1,,
75.857,-74.687,-762.5,"-1,337.5",-1,,
75.969,-73.872,-737.5,"-1,337.5",-1,,
76.077,-73.045,-712.5,"-1,337.5",-1,,
76.182,-72.204,-687.5,"-1,337.5",-1,,
76.285,-71.35,-662.5,"-1,337.5",-1,,
76.385,-70.484,-637.5,"-1,337.5",-1,,
76.481,-69.605,-612.5,"-1,337.5",-1,,
76.574,-68.714,-587.5,"-1,337.5","9,999",,
76.664,-67.81,-562.5,"-1,337.5","9,999",,
76.751,-66.894,-537.5,"-1,337.5","9,999",,
76.834,-65.966,-512.5,"-1,337.5","9,999",,
76.914,-65.026,-487.5,"-1,337.5","9,999",,
76.99,-64.075,-462.5,"-1,337.5","9,999",,
77.063,-63.113,-437.5,"-1,337.5","9,999",,
