year, 	month, 	day, 	hour, 	minute, 	second,	Significant Wave Height (m), 	Peak period (s), 	Ice thickness (m)
   2.0120000e+03   8.0000000e+00   1.9000000e+01   1.0000000e+00   3.1000000e+01   1.0000000e+00   2.5000000e-01   3.9384615e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   2.0000000e+00   3.1000000e+01   1.0000000e+00   2.5000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   3.0000000e+00   3.1000000e+01   1.0000000e+00             NaN   3.6312057e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   4.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   5.0000000e+00   3.1000000e+01   1.0000000e+00   2.8000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   6.0000000e+00   3.1000000e+01   1.0000000e+00             NaN             NaN   7.2278223e-01
   2.0120000e+03   8.0000000e+00   1.9000000e+01   7.0000000e+00   3.1000000e+01   1.0000000e+00   2.5000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   8.0000000e+00   3.1000000e+01   1.0000000e+00   2.7000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   9.0000000e+00   3.1000000e+01   1.0000000e+00             NaN   3.3464052e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   1.0000000e+01   3.1000000e+01   1.0000000e+00   2.8000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   1.1000000e+01   3.1000000e+01   1.0000000e+00   2.6000000e-01             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   1.2000000e+01   3.1000000e+01   1.0000000e+00   2.5000000e-01   3.3032258e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   1.3000000e+01   3.1000000e+01   1.0000000e+00             NaN   3.0843373e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   1.4000000e+01   3.1000000e+01   1.0000000e+00             NaN   3.0843373e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   1.5000000e+01   3.1000000e+01   1.0000000e+00             NaN   3.0658683e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   1.6000000e+01   3.1000000e+01   1.0000000e+00             NaN   3.1219512e+00   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   1.7000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
   2.0120000e+03   8.0000000e+00   1.9000000e+01   1.8000000e+01   3.1000000e+01   1.0000000e+00             NaN             NaN   0.0000000e+00
